cntry,year,sex,e0,edagger,kentro
AUS,1922,female,65.12,17.06,1.34
AUS,1922,male,60.88,18.11,1.21
AUS,1923,female,63.67,17.44,1.30
AUS,1923,male,59.99,18.24,1.19
AUS,1924,female,64.52,17.43,1.31
AUS,1924,male,60.77,18.07,1.21
AUS,1925,female,65.39,17.07,1.34
AUS,1925,male,61.30,17.85,1.23
AUS,1926,female,65.08,17.05,1.34
AUS,1926,male,61.00,17.79,1.23
AUS,1927,female,64.86,17.08,1.33
AUS,1927,male,61.10,17.83,1.23
AUS,1928,female,64.72,17.20,1.33
AUS,1928,male,61.34,17.88,1.23
AUS,1929,female,65.39,16.64,1.37
AUS,1929,male,61.10,17.54,1.25
AUS,1930,female,66.90,16.57,1.40
AUS,1930,male,63.15,17.28,1.30
AUS,1931,female,67.34,15.87,1.45
AUS,1931,male,63.55,16.57,1.34
AUS,1932,female,67.60,15.78,1.45
AUS,1932,male,63.84,16.45,1.36
AUS,1933,female,67.46,15.66,1.46
AUS,1933,male,63.65,16.24,1.37
AUS,1934,female,66.69,16.03,1.43
AUS,1934,male,63.09,16.56,1.34
AUS,1935,female,67.17,15.65,1.46
AUS,1935,male,63.18,16.36,1.35
AUS,1936,female,67.21,15.98,1.44
AUS,1936,male,63.38,16.57,1.34
AUS,1937,female,67.96,15.42,1.48
AUS,1937,male,63.76,16.18,1.37
AUS,1938,female,67.93,15.24,1.49
AUS,1938,male,63.80,16.13,1.37
AUS,1939,female,68.07,14.93,1.52
AUS,1939,male,63.64,15.86,1.39
AUS,1940,female,68.64,15.04,1.52
AUS,1940,male,63.93,16.00,1.39
AUS,1941,female,68.23,14.95,1.52
AUS,1941,male,64.05,15.82,1.40
AUS,1942,female,67.89,14.90,1.52
AUS,1942,male,63.89,15.45,1.42
AUS,1943,female,68.25,14.80,1.53
AUS,1943,male,64.57,15.18,1.45
AUS,1944,female,69.79,14.24,1.59
AUS,1944,male,66.25,14.70,1.51
AUS,1945,female,70.28,13.93,1.62
AUS,1945,male,66.62,14.40,1.53
AUS,1946,female,70.15,13.86,1.62
AUS,1946,male,65.87,14.47,1.52
AUS,1947,female,70.96,13.58,1.65
AUS,1947,male,66.28,14.54,1.52
AUS,1948,female,71.00,13.18,1.68
AUS,1948,male,66.14,14.30,1.53
AUS,1949,female,71.78,13.14,1.70
AUS,1949,male,66.64,14.16,1.55
AUS,1950,female,71.72,12.96,1.71
AUS,1950,male,66.51,14.10,1.55
AUS,1951,female,71.59,12.98,1.71
AUS,1951,male,66.08,14.18,1.54
AUS,1952,female,72.04,12.83,1.73
AUS,1952,male,66.45,14.09,1.55
AUS,1953,female,72.56,12.71,1.74
AUS,1953,male,67.06,13.97,1.57
AUS,1954,female,72.79,12.55,1.76
AUS,1954,male,67.18,13.73,1.59
AUS,1955,female,73.25,12.42,1.77
AUS,1955,male,67.34,13.72,1.59
AUS,1956,female,73.05,12.26,1.79
AUS,1956,male,67.29,13.39,1.61
AUS,1957,female,73.46,12.37,1.78
AUS,1957,male,67.45,13.72,1.59
AUS,1958,female,74.02,12.31,1.79
AUS,1958,male,67.96,13.60,1.61
AUS,1959,female,73.74,12.21,1.80
AUS,1959,male,67.44,13.54,1.61
AUS,1960,female,74.05,12.27,1.80
AUS,1960,male,67.95,13.42,1.62
AUS,1961,female,74.52,12.14,1.81
AUS,1961,male,68.04,13.45,1.62
AUS,1962,female,74.29,12.13,1.81
AUS,1962,male,67.81,13.39,1.62
AUS,1963,female,74.30,12.19,1.81
AUS,1963,male,67.90,13.34,1.63
AUS,1964,female,73.97,12.12,1.81
AUS,1964,male,67.48,13.23,1.63
AUS,1965,female,74.24,12.19,1.81
AUS,1965,male,67.66,13.31,1.63
AUS,1966,female,74.07,12.04,1.82
AUS,1966,male,67.58,13.18,1.63
AUS,1967,female,74.56,12.13,1.82
AUS,1967,male,67.83,13.28,1.63
AUS,1968,female,74.23,11.97,1.82
AUS,1968,male,67.46,13.07,1.64
AUS,1969,female,74.68,12.16,1.82
AUS,1969,male,67.76,13.33,1.63
AUS,1970,female,74.19,12.17,1.81
AUS,1970,male,67.44,13.22,1.63
AUS,1971,female,74.88,12.05,1.83
AUS,1971,male,68.23,13.16,1.65
AUS,1972,female,75.31,11.91,1.84
AUS,1972,male,68.48,13.05,1.66
AUS,1973,female,75.71,11.77,1.86
AUS,1973,male,68.68,13.06,1.66
AUS,1974,female,75.51,11.66,1.87
AUS,1974,male,68.47,12.95,1.67
AUS,1975,female,76.41,11.78,1.87
AUS,1975,male,69.37,13.02,1.67
AUS,1976,female,76.41,11.49,1.89
AUS,1976,male,69.40,12.72,1.70
AUS,1977,female,77.06,11.55,1.90
AUS,1977,male,70.07,12.87,1.69
AUS,1978,female,77.33,11.57,1.90
AUS,1978,male,70.33,12.79,1.70
AUS,1979,female,77.99,11.32,1.93
AUS,1979,male,70.85,12.71,1.72
AUS,1980,female,78.23,11.21,1.94
AUS,1980,male,71.09,12.55,1.73
AUS,1981,female,78.43,11.16,1.95
AUS,1981,male,71.30,12.47,1.74
AUS,1982,female,78.29,11.01,1.96
AUS,1982,male,71.31,12.30,1.76
AUS,1983,female,78.82,11.18,1.95
AUS,1983,male,72.15,12.27,1.77
AUS,1984,female,78.85,11.03,1.97
AUS,1984,male,72.27,12.18,1.78
AUS,1985,female,78.67,10.89,1.98
AUS,1985,male,72.27,12.09,1.79
AUS,1986,female,79.31,10.90,1.98
AUS,1986,male,72.90,12.15,1.79
AUS,1987,female,79.34,10.80,1.99
AUS,1987,male,72.91,12.01,1.80
AUS,1988,female,79.60,10.78,2.00
AUS,1988,male,73.18,11.99,1.81
AUS,1989,female,79.38,10.54,2.02
AUS,1989,male,73.11,11.77,1.83
AUS,1990,female,80.15,10.64,2.02
AUS,1990,male,73.97,11.86,1.83
AUS,1991,female,80.49,10.58,2.03
AUS,1991,male,74.49,11.76,1.85
AUS,1992,female,80.48,10.48,2.04
AUS,1992,male,74.50,11.63,1.86
AUS,1993,female,81.00,10.41,2.05
AUS,1993,male,75.04,11.57,1.87
AUS,1994,female,80.83,10.27,2.06
AUS,1994,male,74.92,11.39,1.88
AUS,1995,female,81.14,10.28,2.07
AUS,1995,male,75.39,11.47,1.88
AUS,1996,female,81.27,10.17,2.08
AUS,1996,male,75.46,11.39,1.89
AUS,1997,female,81.39,10.14,2.08
AUS,1997,male,75.87,11.37,1.90
AUS,1998,female,81.87,10.14,2.09
AUS,1998,male,76.19,11.41,1.90
AUS,1999,female,82.06,10.08,2.10
AUS,1999,male,76.51,11.37,1.91
AUS,2000,female,82.29,9.96,2.11
AUS,2000,male,76.96,11.21,1.93
AUS,2001,female,82.63,9.89,2.12
AUS,2001,male,77.40,11.14,1.94
AUS,2002,female,82.56,9.82,2.13
AUS,2002,male,77.57,10.89,1.96
AUS,2003,female,82.94,9.74,2.14
AUS,2003,male,77.98,10.93,1.97
AUS,2004,female,83.20,9.76,2.14
AUS,2004,male,78.31,10.86,1.98
AUS,2005,female,83.51,9.71,2.15
AUS,2005,male,78.73,10.93,1.97
AUS,2006,female,83.61,9.62,2.16
AUS,2006,male,78.96,10.78,1.99
AUS,2007,female,83.56,9.58,2.17
AUS,2007,male,78.97,10.80,1.99
AUS,2008,female,83.74,9.41,2.19
AUS,2008,male,79.20,10.65,2.01
AUS,2009,female,84.05,9.51,2.18
AUS,2009,male,79.51,10.74,2.00
AUS,2010,female,84.25,9.40,2.19
AUS,2010,male,79.87,10.62,2.02
AUS,2011,female,84.31,9.37,2.20
AUS,2011,male,79.99,10.55,2.03
AUT,1947,female,63.80,17.71,1.28
AUT,1947,male,58.69,19.25,1.11
AUT,1948,female,65.80,16.89,1.36
AUT,1948,male,60.55,18.70,1.18
AUT,1949,female,65.73,16.18,1.40
AUT,1949,male,60.96,17.83,1.23
AUT,1950,female,67.33,15.46,1.47
AUT,1950,male,62.23,17.04,1.30
AUT,1951,female,67.83,14.68,1.53
AUT,1951,male,62.49,16.46,1.33
AUT,1952,female,69.24,14.04,1.60
AUT,1952,male,64.11,15.72,1.41
AUT,1953,female,69.71,13.77,1.62
AUT,1953,male,64.62,15.39,1.43
AUT,1954,female,69.89,13.70,1.63
AUT,1954,male,64.50,15.41,1.43
AUT,1955,female,70.37,13.51,1.65
AUT,1955,male,64.57,15.35,1.44
AUT,1956,female,70.55,13.34,1.67
AUT,1956,male,64.64,15.23,1.45
AUT,1957,female,70.51,13.40,1.66
AUT,1957,male,64.21,15.48,1.42
AUT,1958,female,71.37,13.15,1.69
AUT,1958,male,65.34,14.98,1.47
AUT,1959,female,71.39,13.15,1.69
AUT,1959,male,65.18,15.01,1.47
AUT,1960,female,71.90,12.73,1.73
AUT,1960,male,65.39,14.61,1.50
AUT,1961,female,72.78,12.50,1.76
AUT,1961,male,66.42,14.40,1.53
AUT,1962,female,72.48,12.36,1.77
AUT,1962,male,66.28,13.95,1.56
AUT,1963,female,72.64,12.28,1.78
AUT,1963,male,66.39,13.91,1.56
AUT,1964,female,73.21,12.22,1.79
AUT,1964,male,66.79,13.99,1.56
AUT,1965,female,72.99,11.99,1.81
AUT,1965,male,66.60,13.62,1.59
AUT,1966,female,73.35,12.04,1.81
AUT,1966,male,66.86,13.93,1.57
AUT,1967,female,73.37,11.79,1.83
AUT,1967,male,66.62,13.71,1.58
AUT,1968,female,73.52,11.74,1.83
AUT,1968,male,66.76,13.55,1.59
AUT,1969,female,73.27,11.82,1.82
AUT,1969,male,66.56,13.56,1.59
AUT,1970,female,73.43,11.75,1.83
AUT,1970,male,66.51,13.59,1.59
AUT,1971,female,73.67,11.65,1.84
AUT,1971,male,66.67,13.73,1.58
AUT,1972,female,74.03,11.73,1.84
AUT,1972,male,66.95,13.70,1.59
AUT,1973,female,74.57,11.54,1.87
AUT,1973,male,67.54,13.55,1.61
AUT,1974,female,74.63,11.50,1.87
AUT,1974,male,67.45,13.51,1.61
AUT,1975,female,74.69,11.29,1.89
AUT,1975,male,67.65,13.19,1.64
AUT,1976,female,75.07,11.01,1.92
AUT,1976,male,68.20,12.92,1.66
AUT,1977,female,75.45,11.09,1.92
AUT,1977,male,68.51,13.03,1.66
AUT,1978,female,75.66,10.77,1.95
AUT,1978,male,68.45,12.85,1.67
AUT,1979,female,75.97,10.90,1.94
AUT,1979,male,68.78,12.91,1.67
AUT,1980,female,76.05,10.82,1.95
AUT,1980,male,68.97,12.87,1.68
AUT,1981,female,76.38,10.63,1.97
AUT,1981,male,69.26,12.63,1.70
AUT,1982,female,76.58,10.67,1.97
AUT,1982,male,69.38,12.80,1.69
AUT,1983,female,76.59,10.55,1.98
AUT,1983,male,69.50,12.57,1.71
AUT,1984,female,77.19,10.59,1.99
AUT,1984,male,70.01,12.67,1.71
AUT,1985,female,77.30,10.36,2.01
AUT,1985,male,70.32,12.40,1.73
AUT,1986,female,77.65,10.35,2.02
AUT,1986,male,70.90,12.32,1.75
AUT,1987,female,78.04,10.29,2.03
AUT,1987,male,71.40,12.24,1.76
AUT,1988,female,78.52,10.16,2.05
AUT,1988,male,71.85,12.09,1.78
AUT,1989,female,78.67,10.15,2.05
AUT,1989,male,71.90,12.08,1.78
AUT,1990,female,78.87,10.15,2.05
AUT,1990,male,72.23,12.04,1.79
AUT,1991,female,78.98,10.09,2.06
AUT,1991,male,72.27,12.07,1.79
AUT,1992,female,79.15,10.09,2.06
AUT,1992,male,72.51,11.97,1.80
AUT,1993,female,79.35,10.08,2.06
AUT,1993,male,72.76,11.92,1.81
AUT,1994,female,79.64,10.08,2.07
AUT,1994,male,73.12,11.98,1.81
AUT,1995,female,79.96,9.88,2.09
AUT,1995,male,73.30,11.83,1.82
AUT,1996,female,80.09,9.83,2.10
AUT,1996,male,73.67,11.68,1.84
AUT,1997,female,80.54,9.74,2.11
AUT,1997,male,74.02,11.50,1.86
AUT,1998,female,80.83,9.66,2.12
AUT,1998,male,74.45,11.43,1.87
AUT,1999,female,80.84,9.62,2.13
AUT,1999,male,74.79,11.40,1.88
AUT,2000,female,81.10,9.62,2.13
AUT,2000,male,75.10,11.49,1.88
AUT,2001,female,81.57,9.55,2.14
AUT,2001,male,75.59,11.41,1.89
AUT,2002,female,81.67,9.43,2.16
AUT,2002,male,75.78,11.22,1.91
AUT,2003,female,81.55,9.47,2.15
AUT,2003,male,75.92,11.24,1.91
AUT,2004,female,82.10,9.46,2.16
AUT,2004,male,76.40,11.27,1.91
AUT,2005,female,82.21,9.42,2.17
AUT,2005,male,76.62,11.17,1.93
AUT,2006,female,82.63,9.25,2.19
AUT,2006,male,77.08,11.00,1.95
AUT,2007,female,82.84,9.25,2.19
AUT,2007,male,77.30,11.06,1.94
AUT,2008,female,82.96,9.18,2.20
AUT,2008,male,77.59,10.86,1.97
AUT,2009,female,82.86,9.31,2.19
AUT,2009,male,77.40,11.02,1.95
AUT,2010,female,83.13,9.26,2.19
AUT,2010,male,77.67,11.04,1.95
AUT,2011,female,83.43,9.25,2.20
AUT,2011,male,78.07,10.93,1.97
AUT,2012,female,83.29,9.12,2.21
AUT,2012,male,78.27,10.74,1.99
AUT,2013,female,83.56,9.07,2.22
AUT,2013,male,78.46,10.67,2.00
AUT,2014,female,83.72,9.21,2.21
AUT,2014,male,78.91,10.66,2.00
BEL,1841,female,40.33,27.26,0.39
BEL,1841,male,40.28,27.40,0.39
BEL,1842,female,38.51,27.61,0.33
BEL,1842,male,38.75,27.60,0.34
BEL,1843,female,40.23,27.31,0.39
BEL,1843,male,40.46,27.40,0.39
BEL,1844,female,41.73,26.31,0.46
BEL,1844,male,42.02,26.43,0.46
BEL,1845,female,40.77,26.83,0.42
BEL,1845,male,41.24,26.60,0.44
BEL,1846,female,38.18,27.34,0.33
BEL,1846,male,37.43,26.88,0.33
BEL,1847,female,35.82,26.75,0.29
BEL,1847,male,34.40,25.90,0.28
BEL,1848,female,37.89,26.15,0.37
BEL,1848,male,38.15,26.05,0.38
BEL,1849,female,34.51,26.44,0.27
BEL,1849,male,34.46,26.58,0.26
BEL,1850,female,42.10,26.36,0.47
BEL,1850,male,42.43,26.36,0.48
BEL,1851,female,41.73,26.79,0.44
BEL,1851,male,42.00,26.68,0.45
BEL,1852,female,41.69,26.79,0.44
BEL,1852,male,41.85,26.66,0.45
BEL,1853,female,41.33,26.11,0.46
BEL,1853,male,41.32,26.06,0.46
BEL,1854,female,40.06,26.95,0.40
BEL,1854,male,39.43,27.00,0.38
BEL,1855,female,37.81,27.01,0.34
BEL,1855,male,37.05,27.14,0.31
BEL,1856,female,41.11,27.19,0.41
BEL,1856,male,40.66,27.27,0.40
BEL,1857,female,40.62,27.11,0.40
BEL,1857,male,40.25,27.41,0.38
BEL,1858,female,40.63,26.56,0.42
BEL,1858,male,39.65,27.09,0.38
BEL,1859,female,39.46,27.46,0.36
BEL,1859,male,38.41,27.66,0.33
BEL,1860,female,45.70,25.62,0.58
BEL,1860,male,44.47,25.93,0.54
BEL,1861,female,41.75,26.96,0.44
BEL,1861,male,40.70,27.07,0.41
BEL,1862,female,43.59,26.54,0.50
BEL,1862,male,42.56,26.75,0.46
BEL,1863,female,41.85,26.95,0.44
BEL,1863,male,40.69,27.35,0.40
BEL,1864,female,40.18,27.10,0.39
BEL,1864,male,39.37,27.26,0.37
BEL,1865,female,38.34,28.14,0.31
BEL,1865,male,37.06,28.26,0.27
BEL,1866,female,33.27,26.71,0.22
BEL,1866,male,31.66,26.62,0.17
BEL,1867,female,44.05,26.24,0.52
BEL,1867,male,42.03,26.58,0.46
BEL,1868,female,43.51,26.65,0.49
BEL,1868,male,41.59,26.90,0.44
BEL,1869,female,43.28,26.40,0.49
BEL,1869,male,41.88,26.54,0.46
BEL,1870,female,41.73,26.69,0.45
BEL,1870,male,40.11,26.88,0.40
BEL,1871,female,35.20,27.83,0.24
BEL,1871,male,33.51,27.66,0.19
BEL,1872,female,41.00,27.51,0.40
BEL,1872,male,39.07,27.55,0.35
BEL,1873,female,44.65,25.98,0.54
BEL,1873,male,42.35,26.25,0.48
BEL,1874,female,45.80,25.88,0.57
BEL,1874,male,43.57,26.08,0.51
BEL,1875,female,43.37,26.44,0.49
BEL,1875,male,40.98,26.67,0.43
BEL,1876,female,44.87,25.87,0.55
BEL,1876,male,42.52,25.80,0.50
BEL,1877,female,45.73,25.80,0.57
BEL,1877,male,43.26,25.82,0.52
BEL,1878,female,45.59,25.73,0.57
BEL,1878,male,42.89,25.88,0.51
BEL,1879,female,45.15,25.62,0.57
BEL,1879,male,42.53,25.79,0.50
BEL,1880,female,43.96,26.95,0.49
BEL,1880,male,41.03,26.95,0.42
BEL,1881,female,45.88,25.77,0.58
BEL,1881,male,42.97,26.03,0.50
BEL,1882,female,47.05,25.43,0.62
BEL,1882,male,44.08,25.72,0.54
BEL,1883,female,46.42,25.43,0.60
BEL,1883,male,43.42,25.52,0.53
BEL,1884,female,45.68,26.10,0.56
BEL,1884,male,42.78,26.27,0.49
BEL,1885,female,46.92,25.37,0.62
BEL,1885,male,44.04,25.50,0.55
BEL,1886,female,44.87,26.54,0.53
BEL,1886,male,41.83,26.69,0.45
BEL,1887,female,47.72,25.15,0.64
BEL,1887,male,44.41,25.52,0.55
BEL,1888,female,46.77,25.63,0.60
BEL,1888,male,43.10,26.04,0.50
BEL,1889,female,46.75,25.92,0.59
BEL,1889,male,43.41,26.14,0.51
BEL,1890,female,46.08,25.68,0.58
BEL,1890,male,42.25,26.12,0.48
BEL,1891,female,45.84,25.54,0.58
BEL,1891,male,42.28,25.96,0.49
BEL,1892,female,44.78,25.72,0.55
BEL,1892,male,41.57,26.02,0.47
BEL,1893,female,46.01,25.96,0.57
BEL,1893,male,42.87,26.23,0.49
BEL,1894,female,48.65,24.91,0.67
BEL,1894,male,44.68,25.42,0.56
BEL,1895,female,47.19,25.43,0.62
BEL,1895,male,43.78,25.91,0.52
BEL,1896,female,49.73,24.75,0.70
BEL,1896,male,46.43,25.07,0.62
BEL,1897,female,50.55,24.40,0.73
BEL,1897,male,47.15,24.79,0.64
BEL,1898,female,50.00,24.79,0.70
BEL,1898,male,46.26,25.39,0.60
BEL,1899,female,48.18,25.26,0.65
BEL,1899,male,44.82,25.58,0.56
BEL,1900,female,48.35,24.81,0.67
BEL,1900,male,44.80,25.47,0.56
BEL,1901,female,51.15,24.00,0.76
BEL,1901,male,47.69,24.50,0.67
BEL,1902,female,50.78,24.00,0.75
BEL,1902,male,47.50,24.52,0.66
BEL,1903,female,50.95,24.34,0.74
BEL,1903,male,47.49,24.80,0.65
BEL,1904,female,50.82,24.25,0.74
BEL,1904,male,47.74,24.59,0.66
BEL,1905,female,51.58,23.65,0.78
BEL,1905,male,48.34,24.12,0.70
BEL,1906,female,51.31,23.97,0.76
BEL,1906,male,48.04,24.55,0.67
BEL,1907,female,52.74,22.91,0.83
BEL,1907,male,49.39,23.52,0.74
BEL,1908,female,51.30,23.58,0.78
BEL,1908,male,48.03,24.13,0.69
BEL,1909,female,52.37,23.05,0.82
BEL,1909,male,48.96,23.71,0.73
BEL,1910,female,52.98,23.21,0.83
BEL,1910,male,49.69,23.80,0.74
BEL,1911,female,51.05,24.09,0.75
BEL,1911,male,47.46,24.70,0.65
BEL,1912,female,54.05,22.23,0.89
BEL,1912,male,50.46,22.86,0.79
BEL,1913,female,54.34,22.38,0.89
BEL,1913,male,50.58,23.13,0.78
BEL,1919,female,51.56,23.09,0.80
BEL,1919,male,48.09,24.02,0.69
BEL,1920,female,55.56,21.89,0.93
BEL,1920,male,51.69,23.18,0.80
BEL,1921,female,56.39,21.50,0.96
BEL,1921,male,53.01,22.63,0.85
BEL,1922,female,56.80,20.60,1.01
BEL,1922,male,53.45,21.70,0.90
BEL,1923,female,58.60,20.11,1.07
BEL,1923,male,54.84,21.27,0.95
BEL,1924,female,59.27,19.80,1.10
BEL,1924,male,55.66,20.69,0.99
BEL,1925,female,58.93,20.13,1.07
BEL,1925,male,55.30,21.06,0.97
BEL,1926,female,58.75,20.15,1.07
BEL,1926,male,55.09,21.07,0.96
BEL,1927,female,58.92,19.73,1.09
BEL,1927,male,55.35,20.68,0.98
BEL,1928,female,59.32,19.70,1.10
BEL,1928,male,55.62,20.70,0.99
BEL,1929,female,56.94,20.30,1.03
BEL,1929,male,53.15,21.40,0.91
BEL,1930,female,59.23,20.22,1.07
BEL,1930,male,55.05,21.32,0.95
BEL,1931,female,60.49,18.84,1.17
BEL,1931,male,56.42,20.11,1.03
BEL,1932,female,60.42,18.98,1.16
BEL,1932,male,56.64,20.14,1.03
BEL,1933,female,60.66,18.87,1.17
BEL,1933,male,56.78,20.05,1.04
BEL,1934,female,62.34,18.55,1.21
BEL,1934,male,58.38,19.60,1.09
BEL,1935,female,62.01,18.26,1.22
BEL,1935,male,57.94,19.43,1.09
BEL,1936,female,62.23,18.39,1.22
BEL,1936,male,57.76,19.71,1.08
BEL,1937,female,62.11,18.24,1.23
BEL,1937,male,57.94,19.35,1.10
BEL,1938,female,62.49,18.08,1.24
BEL,1938,male,57.87,19.58,1.08
BEL,1939,female,62.34,17.73,1.26
BEL,1939,male,57.80,19.07,1.11
BEL,1940,female,60.71,18.37,1.20
BEL,1940,male,51.75,21.51,0.88
BEL,1941,female,61.87,18.05,1.23
BEL,1941,male,56.13,19.49,1.06
BEL,1942,female,61.99,18.10,1.23
BEL,1942,male,56.47,19.16,1.08
BEL,1943,female,62.95,18.25,1.24
BEL,1943,male,57.84,19.56,1.08
BEL,1944,female,60.74,19.05,1.16
BEL,1944,male,53.45,21.25,0.92
BEL,1945,female,61.31,19.19,1.16
BEL,1945,male,55.58,20.98,0.97
BEL,1946,female,64.81,17.20,1.33
BEL,1946,male,59.09,19.13,1.13
BEL,1947,female,66.18,16.23,1.41
BEL,1947,male,60.78,17.96,1.22
BEL,1948,female,67.63,15.43,1.48
BEL,1948,male,62.37,17.24,1.29
BEL,1949,female,68.05,14.79,1.53
BEL,1949,male,62.91,16.47,1.34
BEL,1950,female,68.89,14.43,1.56
BEL,1950,male,63.82,16.08,1.38
BEL,1951,female,69.30,13.90,1.61
BEL,1951,male,64.31,15.56,1.42
BEL,1952,female,70.46,13.58,1.65
BEL,1952,male,65.55,15.01,1.47
BEL,1953,female,70.89,13.18,1.68
BEL,1953,male,65.87,14.65,1.50
BEL,1954,female,71.14,13.22,1.68
BEL,1954,male,66.12,14.70,1.50
BEL,1955,female,71.24,12.92,1.71
BEL,1955,male,65.92,14.58,1.51
BEL,1956,female,71.62,12.69,1.73
BEL,1956,male,66.14,14.49,1.52
BEL,1957,female,71.92,12.73,1.73
BEL,1957,male,66.56,14.34,1.53
BEL,1958,female,72.58,12.37,1.77
BEL,1958,male,67.29,13.94,1.57
BEL,1959,female,73.07,12.37,1.78
BEL,1959,male,67.60,14.02,1.57
BEL,1960,female,72.64,12.04,1.80
BEL,1960,male,66.71,13.86,1.57
BEL,1961,female,73.53,12.07,1.81
BEL,1961,male,67.55,13.89,1.58
BEL,1962,female,73.13,11.98,1.81
BEL,1962,male,67.40,13.57,1.60
BEL,1963,female,73.09,11.82,1.82
BEL,1963,male,67.09,13.52,1.60
BEL,1964,female,73.79,11.98,1.82
BEL,1964,male,67.71,13.68,1.60
BEL,1965,female,73.64,11.82,1.83
BEL,1965,male,67.56,13.40,1.62
BEL,1966,female,73.67,11.81,1.83
BEL,1966,male,67.67,13.39,1.62
BEL,1967,female,74.09,11.67,1.85
BEL,1967,male,67.84,13.28,1.63
BEL,1968,female,73.78,11.43,1.87
BEL,1968,male,67.55,13.01,1.65
BEL,1969,female,73.98,11.54,1.86
BEL,1969,male,67.50,13.17,1.63
BEL,1970,female,74.15,11.59,1.86
BEL,1970,male,67.83,13.18,1.64
BEL,1971,female,74.37,11.44,1.87
BEL,1971,male,67.89,13.08,1.65
BEL,1972,female,74.72,11.46,1.88
BEL,1972,male,68.21,13.00,1.66
BEL,1973,female,74.92,11.27,1.89
BEL,1973,male,68.42,12.79,1.68
BEL,1974,female,75.24,11.20,1.90
BEL,1974,male,68.78,12.77,1.68
BEL,1975,female,75.21,11.06,1.92
BEL,1975,male,68.79,12.49,1.71
BEL,1976,female,75.42,11.03,1.92
BEL,1976,male,68.88,12.48,1.71
BEL,1977,female,76.07,11.17,1.92
BEL,1977,male,69.50,12.59,1.71
BEL,1978,female,76.07,10.99,1.93
BEL,1978,male,69.40,12.54,1.71
BEL,1979,female,76.52,11.12,1.93
BEL,1979,male,69.92,12.39,1.73
BEL,1980,female,76.66,10.97,1.94
BEL,1980,male,69.88,12.38,1.73
BEL,1981,female,77.04,10.84,1.96
BEL,1981,male,70.28,12.25,1.75
BEL,1982,female,77.16,10.83,1.96
BEL,1982,male,70.60,12.19,1.76
BEL,1983,female,77.15,10.69,1.98
BEL,1983,male,70.62,12.04,1.77
BEL,1984,female,77.79,10.62,1.99
BEL,1984,male,70.96,12.07,1.77
BEL,1985,female,77.88,10.55,2.00
BEL,1985,male,71.08,11.95,1.78
BEL,1986,female,78.00,10.49,2.01
BEL,1986,male,71.34,11.89,1.79
BEL,1987,female,78.62,10.64,2.00
BEL,1987,male,71.91,12.08,1.78
BEL,1988,female,78.91,10.62,2.01
BEL,1988,male,72.23,11.94,1.80
BEL,1989,female,78.92,10.39,2.03
BEL,1989,male,72.33,11.74,1.82
BEL,1990,female,79.34,10.45,2.03
BEL,1990,male,72.71,11.79,1.82
BEL,1991,female,79.48,10.44,2.03
BEL,1991,male,72.86,11.82,1.82
BEL,1992,female,79.67,10.45,2.03
BEL,1992,male,72.98,11.79,1.82
BEL,1993,female,79.75,10.21,2.06
BEL,1993,male,72.95,11.69,1.83
BEL,1994,female,80.00,10.37,2.04
BEL,1994,male,73.36,11.78,1.83
BEL,1995,female,80.20,10.26,2.06
BEL,1995,male,73.45,11.69,1.84
BEL,1996,female,80.47,10.11,2.07
BEL,1996,male,73.84,11.49,1.86
BEL,1997,female,80.56,10.15,2.07
BEL,1997,male,74.16,11.43,1.87
BEL,1998,female,80.57,10.19,2.07
BEL,1998,male,74.31,11.45,1.87
BEL,1999,female,80.88,9.95,2.10
BEL,1999,male,74.37,11.49,1.87
BEL,2000,female,80.91,10.02,2.09
BEL,2000,male,74.58,11.48,1.87
BEL,2001,female,81.17,9.99,2.09
BEL,2001,male,74.92,11.45,1.88
BEL,2002,female,81.19,9.83,2.11
BEL,2002,male,75.09,11.31,1.89
BEL,2003,female,81.21,9.71,2.12
BEL,2003,male,75.37,11.14,1.91
BEL,2004,female,81.86,9.72,2.13
BEL,2004,male,75.98,11.11,1.92
BEL,2005,female,81.86,9.69,2.13
BEL,2005,male,76.15,11.07,1.93
BEL,2006,female,82.16,9.75,2.13
BEL,2006,male,76.52,11.13,1.93
BEL,2007,female,82.21,9.81,2.13
BEL,2007,male,76.75,11.18,1.93
BEL,2008,female,82.31,9.71,2.14
BEL,2008,male,76.78,11.11,1.93
BEL,2009,female,82.44,9.77,2.13
BEL,2009,male,77.16,11.00,1.95
BEL,2010,female,82.65,9.71,2.14
BEL,2010,male,77.38,11.01,1.95
BEL,2011,female,82.86,9.76,2.14
BEL,2011,male,77.77,11.01,1.95
BEL,2012,female,82.83,9.54,2.16
BEL,2012,male,77.64,10.90,1.96
BGR,1947,female,55.70,23.39,0.87
BGR,1947,male,52.54,23.93,0.79
BGR,1948,female,57.24,22.60,0.93
BGR,1948,male,54.40,23.13,0.86
BGR,1949,female,59.64,21.30,1.03
BGR,1949,male,56.29,22.34,0.92
BGR,1950,female,63.24,20.21,1.14
BGR,1950,male,59.64,21.26,1.03
BGR,1951,female,62.24,20.27,1.12
BGR,1951,male,59.08,21.20,1.03
BGR,1952,female,61.14,19.35,1.15
BGR,1952,male,58.15,20.33,1.05
BGR,1953,female,65.94,17.95,1.30
BGR,1953,male,62.41,19.07,1.19
BGR,1954,female,66.17,17.80,1.31
